Grupa ¿ywnoœci;Engelse naam/Food name;Nazwa angielska/Nazwa ¿ywnoœci;Iloœæ;jednostka;kalorycznoœæ (kcal);bia³ko (g);t³uszcz (g);wêglowodany (g)
Cukier, s³odycze i s³odkie sosy;Syrup apple;Syrop jab³kowy;100;g;280;1,8;0;65,9
Sosy pikantne;Sauce barbecue;Sos barbecue;100;g;95;0,9;0,1;22,2
Zio³a i przyprawy;Stock cube;Kostka roso³owa;100;g;273;8,1;17,2;21,2
Ró¿ne potrawy;Cocoa powder;Kakao w proszku;100;g;379;18,5;21,7;10,5
Cukier, s³odycze i s³odkie sosy;Chocolate milk;Mleko czekoladowe;100;g;548;7;34,1;52
Cukier, s³odycze i s³odkie sosy;Chocolate dark;Czekolada gorzka;100;g;531;6,5;33,7;46,7
Cukier, s³odycze i s³odkie sosy;Chocolate flakes milk;P³atki czekoladowe mleczne;100;g;454;5,8;15;72
Cukier, s³odycze i s³odkie sosy;Chocolate butter;Mas³o czekoladowe;100;g;515;1,6;32,2;53,6
Cukier, s³odycze i s³odkie sosy;Chocolate flakes dark;P³atki czekoladowe ciemne;100;g;444;5,2;15,5;67
Cukier, s³odycze i s³odkie sosy;Spread chocolate hazelnut;krem czekoladowy z orzechami laskowymi;100;g;562;5,7;35,3;53,9
Zbo¿a i produkty zbo¿owe;Gelatin;¯elatyna;100;g;352;88;0;0
Ró¿ne potrawy;Yeast extract Marmite;Ekstrakt dro¿d¿owy;100;g;238;38,4;0,1;19,2
Cukier, s³odycze i s³odkie sosy;Honey;Miód;100;g;321;0,3;0;80
Cukier, s³odycze i s³odkie sosy;Spread chocolate dark;krem czekoladowy z ciemn¹ czekolad¹;100;g;575;3;38,6;51,4
Cukier, s³odycze i s³odkie sosy;Jam;D¿em;100;g;248;0,3;0,1;60,8
Cukier, s³odycze i s³odkie sosy;Chewing gum;Guma do ¿ucia;100;g;280;0;0;70
Cukier, s³odycze i s³odkie sosy;Chewing gum wo sugar;Guma do ¿ucia bez cukru;100;g;171;0,1;0,6;66,4
Cukier, s³odycze i s³odkie sosy;Coconut bread sweetened sliced;Chleb kokosowy s³odzony krojony;100;g;426;3,2;18,6;58,7
Sosy pikantne;Mayonnaise;Majonez;100;g;664;1,1;71,6;3,6
Cukier, s³odycze i s³odkie sosy;Peppermint;Miêtówki;100;g;395;0,6;0;98,2
Wytrawne pasty chlebowe;Peanut butter;Mas³o orzechowe;100;g;654;22,5;56,4;10
Cukier, s³odycze i s³odkie sosy;Jam rose hip w vit C;D¿em z dzikiej ró¿y z wit. C;100;g;260;1,8;0,3;62
Sosy pikantne;Salad cream 25% oil;Krem sa³atkowy 25% oleju;100;g;278;0,4;26,7;8,9
Cukier, s³odycze i s³odkie sosy;Toffees;Toffi;100;g;401;0,6;6,2;85,6
Sosy pikantne;Ketchup tomato;Ketchup pomidorowy;100;g;77;1;0;17,7
Zbo¿a i produkty zbo¿owe;Pancake homemade prepared w margarin;Naleœniki domowe przygotowane z margaryn¹;100;g;203;8,3;5,8;29,2
Miêso i drób;Liver chicken raw;Surowa w¹tróbka z kurczaka;100;g;128;19,1;5,4;1
Cukier, s³odycze i s³odkie sosy;Sweets marshmallow type Spekkie;S³odycze piankowe;100;g;334;4,1;0,4;78,3
Cukier, s³odycze i s³odkie sosy;Candybar Mars;Mars batonik;100;g;449;4,1;16,6;70,2
Zbo¿a i produkty zbo¿owe;Blancmange powder chocolate instant;Proszek budyniowy czekoladowy instant;100;g;370;1;1;89
Ser;Cheese Edam 40+;Ser Edamski 40+;100;g;324;25,5;24,3;0
Ser;Cheese Gouda 48+ av;Ser Gouda 48+ av;100;g;370;22,9;30,6;0
Ser;Cheese 20+ Leidse w cumin/Fries clove;Ser 20+ Leidse z kminkiem/Frytki goŸdzikowe;100;g;240;33,1;11,9;0
Ser;Cheese spread 40+;Serek topiony 40+;100;g;227;16;17;2
Ser;Cheese spread 20+;Serek topiony 20+;100;g;137;17,2;6,8;1,7
Cukier, s³odycze i s³odkie sosy;Liquorice Dutch type salted;Lukrecja typu holenderskiego solona;100;g;330;12,2;0,2;68,1
Cukier, s³odycze i s³odkie sosy;Liquorice Dutch type double salted;Lukrecja typu holenderskiego podwójnie solona;100;g;330;12,2;0,2;68,1
Cukier, s³odycze i s³odkie sosy;Liquorice Dutch type sweet;Lukrecja, typ holenderski, s³odka;100;g;333;7,3;0,4;74,6
Cukier, s³odycze i s³odkie sosy;M&M's chocolate;Czekolada M&M's;100;g;487;4,6;20,7;68,6
Cukier, s³odycze i s³odkie sosy;Candybar Milky Way;Batonik Milky Way;100;g;448;4;15,9;71,9
Cukier, s³odycze i s³odkie sosy;Candybar Bounty;Batonik Bounty;100;g;486;3,7;26,1;58,3
Cukier, s³odycze i s³odkie sosy;Candybar Snickers;Batoniki Snickers;100;g;484;8,7;22,9;60,2
Ró¿ne potrawy;Cocoa powder sweetened;Kakao w proszku s³odzone;100;g;376;4,5;2,6;80,6
Warzywa;Rhubarb puree w sugar;Puree z rabarbaru z cukrem;100;g;82;0,5;0;19
Cukier, s³odycze i s³odkie sosy;Sauce fruit for pudding;Sos owocowy do budyniu;100;g;189;0,3;0,1;46,3
Cukier, s³odycze i s³odkie sosy;Sauce chocolate for pudding;Sos czekoladowy do budyniu;100;g;269;2,1;1,9;60,8
Wytrawne pasty chlebowe;Peanut butter w peanut pieces;Mas³o orzechowe z kawa³kami orzechów;100;g;651;20;55;15
Orzechy i nasiona;Peanuts coated;Orzeszki ziemne w panierce;100;g;532;13,2;32,7;43,7
Ser;Cheese Camembert 45+;Ser Camembert 45+;100;g;306;25;22,8;0
Warzywa;Celery raw;Seler surowy;100;g;14;1;0;2
Warzywa;Celeriac raw;Surowy seler;100;g;38;2;0;5
Warzywa;Swede raw;Surowa brukiew;100;g;30;0,7;0,1;5
Warzywa;Kohlrabi raw;Kalarepa surowa;100;g;31;0,9;0,3;4,7
Warzywa;Purslane raw;Portulaka surowa;100;g;13;1;0;1
Warzywa;Leek raw;Por surowy;100;g;28;1,5;0,2;3,5
Warzywa;Swiss chard leaf raw;Surowe liœcie boæwiny;100;g;29;3;0;3
Warzywa;Brussel sprouts raw;Surowa brukselka;100;g;46;2,3;0,7;5,6
Miêso i drób;Sausage frankfurter tinned;Kie³basa frankfurterka konserwowa;100;g;201;12;15,4;3,8
Wêdliny;Sausage luncheon meat;Kie³basa mielona;100;g;306;11,6;26,9;3,5
Miêso i drób;Black pudding;Kaszanka;100;g;386;12,4;32,6;9,5
Cukier, s³odycze i s³odkie sosy;Candybar Nuts;Orzechy Candybar;100;g;497;4,6;24,8;62,3
Sosy pikantne;Ketchup hot chilli;Ketchup z ostrym chilli;100;g;101;1,2;0,1;23,3
Sosy pikantne;Ketchup curry;Curry z ketchupem;100;g;129;0,8;0,3;29,9
Zbo¿a i produkty zbo¿owe;Wheat bran;Otrêby pszenne;100;g;286;17,4;5,1;20
Ser;Cheese Brie 50+;Ser Brie 50+;100;g;318;23;25,1;0
Chleb;Crispbread gold-brown;Chrupkie pieczywo z³ocisto-br¹zowe;100;g;410;12,3;6,6;72,3
Napoje bezalkoholowe;Water 0-50 mg calcium p litre;Woda 0-50 mg wapnia p litr;100;g;0;0;0;0
Napoje bezalkoholowe;Water 50-100 mg calcium p litre;Woda 50-100 mg wapnia p litr;100;g;0;0;0;0
Napoje bezalkoholowe;Water >100 mg calcium p litre;Woda >100 mg wapnia na litr;100;g;0;0;0;0
T³uszcze i oleje;Oil olive;Oliwa z oliwek;100;g;900;0;100;0
Ryby, skorupiaki i miêczaki;Salmon tinned;£osoœ w puszce;100;g;146;20,4;7,2;0
Ryby, skorupiaki i miêczaki;Eel smoked;Wêgorz wêdzony;100;g;351;19,1;30,5;0
Ryby, skorupiaki i miêczaki;Mackerel steamed;Makrela gotowana na parze;100;g;315;19,5;26,1;0,5
T³uszcze i oleje;Oil safflower;Olej krokoszowy;100;g;900;0;100;0
Sosy pikantne;Peanut sauce ready to eat;Sos orzechowy gotowy do spo¿ycia;100;g;247;7,5;13,2;23,5
Cukier, s³odycze i s³odkie sosy;M&M's chocolate w peanuts;Czekoladki M&M's z orzeszkami ziemnymi;100;g;511;9,8;25,3;59,1
Wêdliny;Salami sausage saveloy;Kie³basa salami saveloy;100;g;375;17,8;33;1,3
Wêdliny;Bacon rasher streaky;Plasterki boczku w plastrach;100;g;312;15,7;27,5;0,5
Wêdliny;Liver sausage;Kie³basa w¹trobowa;100;g;294;14,5;25,3;1,8
Wêdliny;Bacon;Boczek;100;g;188;18,5;12,4;0,5
Wêdliny;Pate;£eb;100;g;360;9,6;33;5,7
Wêdliny;Pork side cured and smoked;Boczek wieprzowy wêdzony i peklowany;100;g;130;18,3;5,1;2,8
Napoje bezalkoholowe;Coffee prepared;Kawa przygotowana;100;g;1;0,2;0;0,1
Napoje bezalkoholowe;Tea prepared;Przygotowana herbata;100;g;0;0;0;0
Warzywa;Cabbage red w apple pieces frozen boiled;Kapusta czerwona z kawa³kami jab³ka mro¿ona gotowana;100;g;57;1,1;1;9,9
Warzywa;Spinach creamed frozen boiled;Szpinak w sosie œmietanowym mro¿ony gotowany;100;g;44;2,9;3;0,8
Zbo¿a i produkty zbo¿owe;Rice white boiled;Ry¿ bia³y gotowany;100;g;146;3,2;0,3;32,2
Zbo¿a i produkty zbo¿owe;Pasta white av boiled;Makaron bia³y av gotowany;100;g;142;5,1;0,9;27,7
Roœliny str¹czkowe;Beans brown canned;Fasola br¹zowa konserwowa;100;g;120;6,5;0,7;18
Napoje bezalkoholowe;Juice grapefruit;Sok grejpfrutowy;100;g;34;0,5;0;7,3
Owoce;Plantain ripe raw;Banan dojrza³y surowy;100;g;138;1,3;0;32
Ziemniaki i bulwy;Cassava raw;Surowy maniok;100;g;142;0,6;0,2;33,5
Ziemniaki i bulwy;Taro raw;Surowy taro;100;g;119;1,4;0,2;26,2
Ziemniaki i bulwy;Yam raw;Surowy batat;100;g;124;1,5;0,3;28,2
Ziemniaki i bulwy;Tannia raw;Tannia surowa;100;g;136;2;0;31
Ziemniaki i bulwy;Potato sweet raw;Ziemniak s³odki surowy;100;g;91;1,2;0,3;19,7
Warzywa;Black nightshade raw;Czarna psianka surowa;100;g;60;5;1;7
Warzywa;Mustard leaves raw;Surowe liœcie gorczycy;100;g;32;2,5;0,3;3,2
Warzywa;Antroewa raw;Antroewa surowa;100;g;30;1;0;6
Warzywa;Dagoe leaf raw;Surowe liœcie Dagoe;100;g;34;3;0;5
Warzywa;Kaisoi raw;Kaisoi surowy;100;g;32;3;0;5
Warzywa;Amaranth leaves raw;Surowe liœcie amarantusa;100;g;56;4;1;7
Warzywa;Beans long yard Kousenband raw;Fasola d³uga jardowa Kousenband surowa;100;g;43;3;0;7
Warzywa;Okra raw;Okra surowa;100;g;23;1,9;0,2;1,8
Warzywa;Bottlegourd poeng;Poeng z tykwy butelkowej;100;g;31;1;0;6
Warzywa;Pumpkin raw;Dynia surowa;100;g;14;0,7;0,2;2
Warzywa;Bitter gourd pods raw;Surowe str¹ki gorzkiej tykwy;100;g;15;1;0,2;0,9
Warzywa;Tannia leaves raw;Surowe liœcie Tannii;100;g;19;2;0;2
Roœliny str¹czkowe;Beans black eyed dried;Fasola czarnooka suszona;100;g;367;23;2;62
Roœliny str¹czkowe;Peas split yellow/green dried;Groch ³uskany ¿ó³ty/zielony suszony;100;g;359;22;2;61
Owoce;Avocado;Awokado;100;g;186;2;18,4;1,8
Owoce;Guava (pink fleshed);Guawa (o ró¿owym mi¹¿szu);100;g;75;2,6;1;10,9
Owoce;Lime;Wapno;100;g;41;0,7;0,2;7,7
Owoce;Mango;Mango;100;g;66;0,6;0,2;14,3
Owoce;Papaya;Papaja;100;g;39;0,5;0,3;7,8
Zio³a i przyprawy;Tamarind;Tamaryndowiec;100;g;301;3;0;72
Zbo¿a i produkty zbo¿owe;Flour cassava;M¹ka z manioku;100;g;336;2;0;81
Zbo¿a i produkty zbo¿owe;Cornmeal;m¹ka kukurydziana;100;g;361;6,8;2,8;75,5
Ryby, skorupiaki i miêczaki;Shrimps salted dried;Krewetki solone suszone;100;g;274;63;2;1
Ryby, skorupiaki i miêczaki;Cod dried salted;Dorsz suszony solony;100;g;355;82;3;0
Zio³a i przyprawy;Shrimp paste trassie;Pasta krewetkowa trassie;100;g;208;37;5;2,5
Zbo¿a i produkty zbo¿owe;Rice brown raw;Ry¿ br¹zowy surowy;100;g;357;8,3;2,6;73,5
Ser;Cheese Roquefort;Ser Roquefort;100;g;357;19;31;0
Ser;Cheese Saint Paulin/Port Salut;Ser Saint Paulin/Port Salut;100;g;341;21,5;28,2;0
Cukier, s³odycze i s³odkie sosy;Chocolate milk w hazelnuts;Mleko czekoladowe z orzechami laskowymi;100;g;562;7,7;35,9;50,2
Ser;Cheese Parmesan;Ser Parmezan;100;g;404;40;27;0
Ser;Cheese cream soft Mon Chou;Ser kremowy miêkki Mon Chou;100;g;316;6,8;31;2,4
Ser;Cheese Limburger;Limburger z serem;100;g;283;21;21;2
Ser;Cheese Gruyere;Ser Gruyere;100;g;433;29;34,5;1,4
Ser;Cheese Emmenthaler;Ser Emmentaler;100;g;387;29;30;0
Ser;Cheese Cheddar;Ser Cheddar;100;g;415;25,5;34,4;0,1
Ser;Cheese Bluefort;Ser Bluefort;100;g;405;17,9;37;0
Cukier, s³odycze i s³odkie sosy;Chocolate w liqueur;Czekolada z likierem;100;g;383;3,3;16,6;49,2
Ser;Cheese cream soft Boursin;Ser œmietankowy miêkki Boursin;100;g;411;7,5;41;3
Sosy pikantne;Mayonnaise low fat 40% oil;Majonez o obni¿onej zawartoœci t³uszczu 40% oleju;100;g;400;1;40;9
Ziemniaki i bulwy;Potatoes mashed instant prepared average;Ziemniaki puree instant przygotowane œrednio;100;g;83;2,9;1,5;14,1
Napoje bezalkoholowe;Mineral water sparkling and not sparkling av;Woda mineralna gazowana i niegazowana av;100;g;0;0;0;0
Cukier, s³odycze i s³odkie sosy;Marshmallows;Pianki;100;g;329;4,6;0,1;77,3
Cukier, s³odycze i s³odkie sosy;Liquorice allsorts;Lukrecja w ró¿nych odmianach;100;g;394;3,7;5,2;82
Cukier, s³odycze i s³odkie sosy;Wine gum/ fruit gum;Guma do ¿ucia o smaku wina/owocowa;100;g;319;5;0,2;74,2
Wêdliny;Sausage spiced and smoked;Kie³basa przyprawiona i wêdzona;100;g;329;12;31;0,5
Wêdliny;Ham lean boiled;Szynka chuda gotowana;100;g;134;18;5,7;2,5
Wêdliny;Ham shoulder medium fat boiled;Szynka pó³t³usta gotowana;100;g;133;16,4;6,2;2,4
Ser;Cheese sheep fresh;Ser owczy œwie¿y;100;g;238;17;18,8;0
Napoje alkoholowe;Jagermeister herb liquor;Nalewka zio³owa Jagermeister;100;g;294;0;0;14
Cukier, s³odycze i s³odkie sosy;Fruit spread w sweetener;Pasta owocowa ze s³odzikiem;100;g;156;0,4;0,2;59,2
Wêdliny;Beef steak tartare spiced filet americain;Tatar wo³owy z przyprawami polêdwicowymi po amerykañsku;100;g;240;14,2;18,8;3
Zbo¿a i produkty zbo¿owe;Pasta wholemeal raw;Makaron pe³noziarnisty surowy;100;g;348;13;2;66
Mleko i produkty mleczne;Cream sour;Œmietana kwaœna;100;g;134;3;12;3,4
Ryby, skorupiaki i miêczaki;Plaice raw;Surowy fl¹der;100;g;76;16,4;1,2;0
Ryby, skorupiaki i miêczaki;Fish fingers fried in sunflower oil;Paluszki rybne sma¿one w oleju s³onecznikowym;100;g;239;16,4;13;13,9
Ryby, skorupiaki i miêczaki;Fish fingers unprepared;Paluszki rybne nieprzygotowane;100;g;194;13;8;17
Ryby, skorupiaki i miêczaki;Plaice fried;Sma¿ona fl¹dra;100;g;194;22;10,9;2
Ryby, skorupiaki i miêczaki;Cod boiled;Dorsz gotowany;100;g;105;23;1;1
Ryby, skorupiaki i miêczaki;Cod raw;Dorsz surowy;100;g;75;17,5;0,6;0
Zio³a i przyprawy;Pepper black/white;Pieprz czarny/bia³y;100;g;332;11;3;52
Zio³a i przyprawy;Mustard;Musztarda;100;g;129;6,7;7,8;6,6
Zio³a i przyprawy;Nutmeg powder;Proszek ga³ki muszkato³owej;100;g;536;6;36;45
Zio³a i przyprawy;Cinnamon powder;Proszek cynamonowy;100;g;316;4;3;56
Zio³a i przyprawy;Cumin seed dried;Suszone nasiona kminku;100;g;427;18;22;34
Zio³a i przyprawy;Cloves;GoŸdziki;100;g;431;6;20;52
Zio³a i przyprawy;Chives fresh;Szczypiorek œwie¿y;100;g;62;4;1;8
Warzywa;Garlic raw;Czosnek surowy;100;g;158;6,4;0,5;31
Zio³a i przyprawy;Chervil fresh;Œwie¿a trybula;100;g;44;4;1;3,6
Zio³a i przyprawy;Ginger root;Korzeñ imbiru;100;g;81;1,8;0,8;15,7
Orzechy i nasiona;Sesame seeds;Nasiona sezamu;100;g;632;22,7;57,4;1,8
Roœliny str¹czkowe;Beans soya dried;Fasola sojowa suszona;100;g;418;35,9;18,6;15,8
Ró¿ne potrawy;Salt fortified w iodine;Sól wzbogacona jodem;100;g;0;0;0;0
Zio³a i przyprawy;Stock powder;Proszek magazynowy;100;g;197;20,2;5,1;17,8
Sosy pikantne;Salad dressing natural wo oil;Sos sa³atkowy naturalny bez oleju;100;g;32;0;0;7,9
Cukier, s³odycze i s³odkie sosy;Candybar Twix;Cukierkowy Twix;100;g;495;4,5;23,9;64,6
Zbo¿a i produkty zbo¿owe;Millet raw;Proso surowe;100;g;370;11;4;71
Owoce;Grapefruit in syrup canned;Grejpfrut w syropie w puszce;100;g;66;0,5;0;15,5
Warzywa;Fennel raw;Surowy koper w³oski;100;g;17;1;0;2
Warzywa;Vegetables mixed pickled Atjar tjampoer glass;Mieszane warzywa marynowane Atjar tjampoer szk³o;100;g;42;1;0,2;7,6
Warzywa;Sweet pepper pickled glass;Papryka s³odka marynowana w szkle;100;g;16;0,9;0,1;2
Ziemniaki i bulwy;Rosti unprepared;Rosti nieprzygotowany;100;g;123;2,5;2,5;21,5
Napoje alkoholowe;Madeira;Madera;100;g;166;0;0;10
Zio³a i przyprawy;Gravy instant powder;Sos instant w proszku;100;g;342;10,8;8,2;55,2
Zio³a i przyprawy;Seasoning flavoured liquid;Przyprawa o smaku p³ynnym;100;g;70;10,6;0,1;6,4
Zio³a i przyprawy;Seasoning flavoured powder;Przyprawa w proszku o smaku;100;g;176;9,9;3,9;25
Napoje bezalkoholowe;Juice beetroot;Sok z buraków;100;g;34;0,9;0;7,7
Orzechy i nasiona;Linseeds;Siemiê lniane;100;g;477;19;31;13
Zbo¿a i produkty zbo¿owe;Flour soya defatted;M¹ka sojowa odt³uszczona;100;g;372;50;2,5;30
Zbo¿a i produkty zbo¿owe;Flour soya full fat;M¹ka sojowa pe³not³usta;100;g;478;38;23;24
Zio³a i przyprawy;Miso soya paste;Pasta sojowa miso;100;g;130;11,7;5;6,2
Orzechy i nasiona;Sunflower seeds;Nasiona s³onecznika;100;g;647;18;56,5;13
Owoce;Apple w skin av;Jab³ko ze skórk¹ av;100;g;56;0,3;0,2;12
Orzechy i nasiona;Peanuts salted;Orzeszki ziemne solone;100;g;620;24,8;50,5;13,2
Chleb;Croissants canned baked;Croissanty konserwowe pieczone;100;g;420;7;22,6;46
T³uszcze i oleje;Butter salted;Mas³o solone;100;g;737;0,7;81,2;1,1
Ser;Cheese Kernhem 60+;Ser Kernhem 60+;100;g;443;18,6;40,6;0
Ser;Cheese Old Amsterdam 48+;Ser Stary Amsterdam 48+;100;g;404;26;33;0
Warzywa;Sweet pepper red raw;Papryka s³odka czerwona surowa;100;g;25;0,8;0,1;4,3
Warzywa;Sweet pepper red boiled;Papryka s³odka czerwona gotowana;100;g;28;0,9;0,1;5,1
Zbo¿a i produkty zbo¿owe;Vol -au-vent shell made w butter;Skorupka Vol-au-vent zrobiona z mas³a;100;g;570;8,9;39,6;43,4
Zbo¿a i produkty zbo¿owe;Vol -au-vent shell wo butter;Skorupka Vol-au-vent bez mas³a;100;g;566;8,4;39,1;43,9
Ryby, skorupiaki i miêczaki;Pollock (Atlantic) boiled;Mintaj (atlantycki) gotowany;100;g;114;25;1,5;0
Warzywa;Broccoli boiled;Broku³y gotowane;100;g;27;3,9;0,3;0,8
Warzywa;Broccoli raw;Broku³y surowe;100;g;27;2,9;0,7;0,7
Warzywa;Courgettes raw;Cukinia surowa;100;g;18;1,3;0,2;2,3
Napoje bezalkoholowe;Juice pear;Sok gruszkowy;100;g;39;0,1;0;9,5
Ser;Cheese 20+ low sodium;Ser 20+ o niskiej zawartoœci sodu;100;g;264;36,7;13;0
Ser;Cheese 40+ low sodium;Ser 40+ o niskiej zawartoœci sodu;100;g;339;29,4;24,6;0
Cukier, s³odycze i s³odkie sosy;Chocolate milk sugar-free;Mleko czekoladowe bez cukru;100;g;485;7,1;34,7;47,8
Napoje alkoholowe;Wine medicinal pleegzusterbloedwijn;Wino lecznicze pleegzusterbloedwijn;100;g;154;0;0;14
Ziemniaki i bulwy;Rosti prepared wo fat;Rosti przygotowane na t³uszczu;100;g;149;1,9;5,1;22,8
Ró¿ne potrawy;Yeast fresh;Dro¿d¿e œwie¿e;100;g;66;11,4;0,4;1
Warzywa;Beans French boiled;Fasola po francusku gotowana;100;g;25;1,8;0,4;2,2
Warzywa;Kale curly frozen boiled;Jarmu¿ kêdzierzawy mro¿ony gotowany;100;g;37;2;1,6;2,5
Warzywa;Peas frozen boiled;Groszek mro¿ony gotowany;100;g;92;6;0;14,8
Warzywa;Beans French frozen boiled;Fasola francuska mro¿ona gotowana;100;g;34;1,8;0,1;5,4
Zbo¿a i produkty zbo¿owe;Rice white parboiled boiled;Ry¿ bia³y parboiled gotowany;100;g;140;3;0,3;31
Warzywa;Asparagus white boiled;Szparagi bia³e gotowane;100;g;21;1;0,3;3
Warzywa;Beetroot boiled;Buraki gotowane;100;g;30;1,2;0,1;4,6
Warzywa;Kale curly raw;Jarmu¿ krêcony surowy;100;g;33;3;0,6;1,6
Warzywa;Salsify boiled;Skorzonera gotowana;100;g;84;1;1;17
Warzywa;Beans runner boiled;Fasola szparagowa gotowana;100;g;23;1,8;0;1,9
Warzywa;Beans broad boiled;Fasola szeroko gotowana;100;g;45;5;0;4
Warzywa;Peas fresh boiled;Groszek œwie¿y gotowany;100;g;69;4;0;11
Warzywa;Mange-tout boiled;Groszek cukrowy gotowany;100;g;33;2;0;5
Warzywa;Courgettes boiled;Cukinia gotowana;100;g;19;1,5;0,1;2,3
Warzywa;Fennel boiled;Koper w³oski gotowany;100;g;17;1;0;2
Roœliny str¹czkowe;Peas marrowfat boiled;Groch gotowany na szpiku;100;g;127;9,5;0,9;15,7
Roœliny str¹czkowe;Lentils green and brown boiled;Soczewica zielona i br¹zowa gotowana;100;g;99;8,8;0,7;11,6
Roœliny str¹czkowe;Beans soya boiled;Fasola sojowa gotowana;100;g;123;10,6;5,5;4,6
Roœliny str¹czkowe;Peas green boiled;Groszek zielony gotowany;100;g;126;8,4;0,8;17,2
Chleb;Crispbread sesame;Chrupkie pieczywo sezamowe;100;g;421;12,8;9,8;67,8
Chleb;Crispbread lightweight;Chrupkie pieczywo lekkie;100;g;334;10;1,5;59
Ziemniaki i bulwy;Potatoes wo skin boiled av;Ziemniaki bez skórki gotowane;100;g;83;1,9;0,3;17,4
Owoce;Pomegranate;Granat;100;g;91;1;1;17
Owoce;Figs fresh;Figi œwie¿e;100;g;84;1;0;19
Chleb;Rye bread wholemeal low sodium;Chleb ¿ytni pe³noziarnisty o niskiej zawartoœci sodu;100;g;201;5,6;1,3;37,6
Zbo¿a i produkty zbo¿owe;Bread crumbs;Okruchy chleba;100;g;378;13;3,5;71,3
Zbo¿a i produkty zbo¿owe;Rice brown boiled;Ry¿ br¹zowy gotowany;100;g;131;3,1;1;26,4
Zbo¿a i produkty zbo¿owe;Bulgur wheat raw;Surowa pszenica bulgur;100;g;340;12,3;1,3;63,4
Chleb;Wheat rye bread wholemeal;Chleb pszenny ¿ytni pe³noziarnisty;100;g;234;9,7;1,9;40,9
Zbo¿a i produkty zbo¿owe;Rye flakes rolled;P³atki ¿ytnie zwijane;100;g;352;12;2;69
Zbo¿a i produkty zbo¿owe;Buckwheat groats;Kasza gryczana;100;g;357;8;2;74
Zbo¿a i produkty zbo¿owe;Flour wheat self-raising;M¹ka pszenna samorosn¹ca;100;g;339;10,3;1,1;71
Warzywa;Artichoke raw;Karczoch surowy;100;g;49;2;0;9,5
Zbo¿a i produkty zbo¿owe;Flour rice Olvarit;M¹ka ry¿owa Olvarit;100;g;385;7,8;1,2;85,6
Zbo¿a i produkty zbo¿owe;Barley easy cook raw;Jêczmieñ ³atwy do ugotowania na surowo;100;g;355;8;1;77
Ró¿ne potrawy;Yeast dried;Dro¿d¿e suszone;100;g;390;48;6;36
Owoce;Kiwi fruit green;Kiwi zielone;100;g;62;0,9;0,8;10,8
Owoce;Kaki / Sharon fruit;Owoce Kaki/Sharon;100;g;77;0,5;0;18,6
Owoce;Passion fruit;Marakuja;100;g;52;2,6;0,4;5,7
Mleko i produkty mleczne;Kefir;Kefir;100;g;40;3,5;1,5;3,1
Warzywa;Dandelion leaves raw;Surowe liœcie mniszka lekarskiego;100;g;55;3;1;8
Owoce;Lychees;Liczi;100;g;72;0,9;0,1;16,1
Roœliny str¹czkowe;Peas chick boiled;Groch gotowany z kurczakiem;100;g;138;7,6;3;15,9
Ryby, skorupiaki i miêczaki;Salmon smoked;£osoœ wêdzony;100;g;188;21,8;10,8;0,8
Ryby, skorupiaki i miêczaki;Caviar;Kawior;100;g;281;24;20,5;0
Ryby, skorupiaki i miêczaki;Squid raw;Surowe kalmary;100;g;73;16;1;0
Owoce;Kumquat;Kumkwat;100;g;52;0,9;0,5;9,1
Ryby, skorupiaki i miêczaki;Herring pickled (sweet)sour;ŒledŸ marynowany na s³odko-kwaœno;100;g;208;16;16;0
Ryby, skorupiaki i miêczaki;Snails;Œlimaki;100;g;85;16;1,4;2
Ser;Cheese smoked 45+;Ser wêdzony 45+;100;g;331;21,2;26,2;1,8
Owoce;Melon water;Woda melonowa;100;g;36;0,5;0;8
Owoce;Melon honeydew;Melon miodowy;100;g;30;0,9;0;6,3
Ser;Cheese Rambol;Ser Rambol;100;g;291;13,6;25;2,3
Ser;Cheese Stilton;Ser Stilton;100;g;388;21,3;33,4;0,1
Ser;Cheese Camembert 30+;Ser Camembert 30+;100;g;223;24;14;0
Ser;Cheese 48+ low sodium;Ser 48+ o niskiej zawartoœci sodu;100;g;381;26,1;30,7;0
Owoce;Melon in syrup canned;Melon w syropie w puszce;100;g;80;0,5;0;19
Owoce;Strawberry puree tinned;Przecier truskawkowy w puszce;100;g;84;0,5;0;20
Warzywa;Peas extra fine low sodium tinned;Groszek bardzo drobny konserwowy o niskiej zawartoœci sodu;100;g;51;4;0;6,5
Napoje bezalkoholowe;Juice lemon fresh;Sok z cytryny œwie¿y;100;g;47;0,4;0;8
Napoje bezalkoholowe;Juice tomato/vegetable;Sok pomidorowy/warzywny;100;g;21;1;0;4
Warzywa;Mushroom low sodium tinned;Pieczarki w puszce o niskiej zawartoœci sodu;100;g;18;2,1;0,4;0,2
Napoje alkoholowe;Berenburg herb liquor;Nalewka zio³owa Berenburg;100;g;189;0;0;0
Warzywa;Endive frozen unprepared;Endywia mro¿ona nieprzygotowana;100;g;9;1;0;0,3
Warzywa;Peas and carrots frozen unprepared;Groszek i marchewka mro¿one, nieprzygotowane;100;g;58;3,8;0,4;7,1
Warzywa;Vegetable mix for pea soup frozen unprep;Mieszanka warzywna na zupê grochow¹ mro¿ona nie przygotowana;100;g;17;2;0;1
Warzywa;Vegetable mixed Mexico frozen unprepared;Mieszanka warzyw Meksyk mro¿ona nieprzygotowana;100;g;85;4,5;0,9;12
